a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
0.75,3.391948823959037,0.6718560138163863,3.192358337933165,0.7418996384441763,0.049648580814041374,2006,7,0.25
1,3.391948823959037,0.6718560138163863,3.0568147421488945,0.7750711283471304,0.1336215725259167,2006,7,0.25
1.25,3.391948823959037,0.6718560138163863,2.96909447265115,0.7417492199245724,0.18857592294017694,2006,7,0.25
2,3.391948823959037,0.6718560138163863,2.8455503861891747,0.7960566145355725,0.3294028312353598,2006,7,0.25
0.25,3.458921290587291,0.6076964377136962,3.460425195349573,0.5931026984224478,4.282161825358697e-4,2007,8,0.25
0.5,3.458921290587291,0.6076964377136962,3.4343727624744598,0.6226560437866618,0.001050209860223077,2007,8,0.25
0.75,3.458921290587291,0.6076964377136962,3.3403707768524202,0.6363073279421735,0.015691390386133694,2007,8,0.25
2,3.458921290587291,0.6076964377136962,3.261713396572473,0.7000408421466715,0.055945931521921455,2007,8,0.25
1,3.458921290587291,0.6076964377136962,3.2123478556184697,0.6575087799169853,0.06576099770387861,2007,8,0.25
1.25,3.458921290587291,0.6076964377136962,3.1038763384880284,0.7093480097924766,0.14672300222334256,2007,8,0.25
1.5,3.458921290587291,0.6076964377136962,3.044840112054577,0.7464307746565023,0.20995765490896137,2007,8,0.25
0.25,3.310957783906278,0.6462903721565258,3.311779827522177,0.646881312086208,1.3741757074262092e-6,2008,9,0.25
1.25,3.310957783906278,0.6462903721565258,3.2296342901026773,0.6772728944817903,0.008533344023695266,2008,9,0.25
0.5,3.310957783906278,0.6462903721565258,3.2207337845093282,0.698021581858175,0.013492606181572752,2008,9,0.25
2,3.310957783906278,0.6462903721565258,2.968774647920301,0.8424537719939101,0.19404945742472035,2008,9,0.25
1,3.310957783906278,0.6462903721565258,2.887767695469443,0.7335278178380926,0.1943105948092646,2008,9,0.25
0.75,3.310957783906278,0.6462903721565258,2.8680639616439114,0.8125545299260056,0.25144247811575754,2008,9,0.25
1.5,3.310957783906278,0.6462903721565258,2.6226896923026706,0.8311290277530891,0.5420436231251613,2008,9,0.25
0.25,3.366131622140773,0.6981064827530816,3.368147315325817,0.6803584579999691,6.340477842904246e-4,2009,10,0.25
0.5,3.366131622140773,0.6981064827530816,3.3043312494859483,0.7235675999538616,0.005115823038498899,2009,10,0.25
0.75,3.366131622140773,0.6981064827530816,3.2349871264823706,0.7267603709237853,0.018840969356095073,2009,10,0.25
1,3.366131622140773,0.6981064827530816,3.202459923046142,0.7569013594773107,0.03370210014255802,2009,10,0.25
1.5,3.366131622140773,0.6981064827530816,2.9907030773369527,0.8025943098726215,0.1627820042858397,2009,10,0.25
1.25,3.366131622140773,0.6981064827530816,2.9056902222312257,0.7518658718541794,0.21778642658370997,2009,10,0.25
2,3.366131622140773,0.6981064827530816,2.6492742942045306,0.9354425356175494,0.62654123259446,2009,10,0.25
0.25,3.36105863287817,0.669138042294739,3.293328853507907,0.7094207079517537,0.007832709318414208,2010,11,0.25
0.5,3.36105863287817,0.669138042294739,3.1130757472027897,0.7815260497057837,0.08675764000753888,2010,11,0.25
0.75,3.36105863287817,0.669138042294739,3.0523133227244372,0.8168325548536194,0.1389510046219353,2010,11,0.25
1,3.36105863287817,0.669138042294739,3.0255293146922,0.8568221129917091,0.18303054414911252,2010,11,0.25
1.5,3.36105863287817,0.669138042294739,2.9811713122562127,0.8273321044346817,0.19436509896200205,2010,11,0.25
